Naziv usluge;Maloprodajna cijena;Poseban oblik prodaje (DA/NE);Naziv posebnog oblika prodaje;"Dodatna cijena
10.9.2026."
ČIŠĆENJE STAKALA;1€/m2*  ;NE;;1€/m2
ČIŠĆENJE TEPIHA;20€/po tepihu*;NE;;20€/po tepihu
ČIŠĆENJE PEĆNICE;20€*;NE;;20 €
ČIŠĆENJE HLADNJAKA;15€*;NE;;15 €
ČIŠĆENJE LUSTERA;10€*;NE;;10 €
ČIŠĆENJE STOLARIJE;10€/po komadu*;NE;;10€/po komadu
ČIŠĆENJE STUBIŠTA;od 6 do 12€/po stanu*;NE;;od 6 do 12€/po stanu
PARNO ČIŠĆENJE NAMJEŠTAJA;20€/po komadu*;NE;;20€/po komadu
GENERALNO ČIŠĆENJE;od 2 do 3€/m2*;NE;;od 2 do 3€/m2
ČIŠĆENJE NAKON RADOVA;od 3 do 5€/m2*;NE;;od 3 do 5€/m2
REDOVNO ČIŠĆENJE;od 1 do 2€/m2* 12€/satu*;NE;;od 1 do 2€/m2 12€/satu
SKIDANJE I PRANJE ZAVJESA;10€/po komadu*;NE;;10€/po komadu
SKIDANJE NALJEPNICA;15€/po komadu namještaja na kojem su naljepnice*;NE;;15€/po komadu namještaja na kojem su naljepnice
ČIŠĆENJE TERASE;od 10 do 20€/po komadu*;NE;;od 10 do 20€/po komadu
*cijena može varirati ovisno o količini zaprljanja i težini uklanjanja istog ;;;;
sve dodatne usluge: naplaćuju se ili po kvadratu ili po satu provedenom u radu a ovise o težini posla, cijena se određuje po dolasku na teren i provedenom uvidu u stanje;;;;
